recording_id,species,scientific_name,country,location,quality,length_s,date,file_path
437760,Brant Goose,Branta bernicla,Poland,Półwysep Helski,A,0:28,2018-10-06,data\processed_wav\437760.wav
437751,Brant Goose,Branta bernicla,Poland,Półwysep Helski,A,0:12,2018-10-06,data\processed_wav\437751.wav
437686,Brant Goose,Branta bernicla,Poland,Półwysep Helski,A,0:11,2018-10-06,data\processed_wav\437686.wav
618760,Bar-headed Goose,Anser indicus,Poland,"Most Gdański 03 (near  Warszawa), Warszawa, Mazowieckie",A,0:10,2021-01-31,data\processed_wav\618760.wav
947665,Greylag Goose,Anser anser,Poland,"Gmina Kępno (near  Kępno), Powiat kępiński, Wielkopolskie",A,0:48,2024-10-30,data\processed_wav\947665.wav
738183,Greylag Goose,Anser anser,Poland,"Gmina Jeziorzany (near  Blizocin), Lubartów County, Lublin Voivodeship",A,0:18,2022-04-22,data\processed_wav\738183.wav
642629,Greylag Goose,Anser anser,Poland,"Gmina Rzepin (near  Rzepin), słubicki, lubuskie",A,0:16,2021-04-20,data\processed_wav\642629.wav
635626,Greylag Goose,Anser anser,Poland,"Gmina Cyców, łęczyński, Lubelskie",A,0:35,2021-04-04,data\processed_wav\635626.wav
617592,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:12,2021-01-23,data\processed_wav\617592.wav
617128,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:51,2021-01-24,data\processed_wav\617128.wav
617062,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,7:19,2021-01-24,data\processed_wav\617062.wav
617060,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,1:12,2021-01-24,data\processed_wav\617060.wav
617058,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:57,2021-01-24,data\processed_wav\617058.wav
617056,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:24,2021-01-24,data\processed_wav\617056.wav
617055,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:35,2021-01-24,data\processed_wav\617055.wav
616686,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,1:27,2021-01-22,data\processed_wav\616686.wav
616668,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:28,2021-01-22,data\processed_wav\616668.wav
616664,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:12,2021-01-22,data\processed_wav\616664.wav
616654,Greylag Goose,Anser anser,Poland,"Gmina Somianka (near  Somianka-Parcele), Powiat wyszkowski, Mazowieckie",A,0:14,2021-01-22,data\processed_wav\616654.wav
594962,Greylag Goose,Anser anser,Poland,"Warszawa, Wisła przy ul. Odkryta",A,0:28,2020-10-11,data\processed_wav\594962.wav
549740,Greylag Goose,Anser anser,Poland,Masovian Voivodeship,A,0:33,2020-04-23,data\processed_wav\549740.wav
526099,Greylag Goose,Anser anser,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:20,2020-02-09,data\processed_wav\526099.wav
214282,Greylag Goose,Anser anser,Poland,"Gmina Zatory (near  Burlaki), pułtuski, mazowieckie",A,0:48,2014-02-21,data\processed_wav\214282.wav
172944,Greylag Goose,Anser anser,Poland,"Trzebicz, Lubuskie Voivodeship",A,0:20,2014-04-06,data\processed_wav\172944.wav
44998,Greylag Goose,Anser anser,Poland,Modlin - Estuary of Narew and Wkra Rivers,A,0:35,2010-02-27,data\processed_wav\44998.wav
